"Review Customer";"Sentiment"
"alhamdulilah berfungsi dengan baik packaging aman respon cepat dan ramah seler dan kurir amanah";"Positive"
"barang bagus dan respon cepat harga bersaing dengan yg lain";"Positive"
"barang bagus berfungsi dengan baik seler ramah pengiriman cepat";"Positive"
"bagus sesuai harapan penjual nya juga ramah triterima kasih pelapak";"Positive"
"barang bagus pengemasan aman dapat berfungsi dengan baik";"Positive"
"barang bagus seler ramah";"Positive"
"mantap paten jos";"Positive"
"works fine respon seler cepat barang berfungsi dengan baik recomended";"Positive"
"barang bagus segel utuh original berfungsi dengan bener seler respon nya ajib cepat amir uda gt kasi saranya pas banget lagi dengan kebutuhan mantab";"Positive"
"barang datang dan berfungsi dengan baik dan terlihat bagus kali ada lampu birunya";"Positive"
"pengiriman super cepat barang bagus recomended seler thanks";"Positive"
"alhamdulilah barangnya sudah nyampe d coba bagus semoga awet terima kasih seler kurir dan tokopedia";"Positive"
"penjual amanah responsif kabel berfungsi baik pengiriman cepat terima kasih";"Positive"
"alhamdulilah barang sudah sampai bisa dipakai semoga berfungsi dengan baik dan awet kurirnya baik smoga rezekinya lancar terus";"Positive"
"bagus berjalan baik dan cukup silent kokoh dan muat untuk laptop 16 inch";"Positive"
"packing aman pengiriman cepat dan barang berfungsi dengan baik";"Positive"
"produknya baik dan kualitasny god banget produk sampai ke konsumen dalam kondisi baik sesuai sih sama harga juga so overal very god lah";"Positive"
"barang sudah sampai ya gan dan berfungsi terima kasih";"Positive"
"barang mantap sesuai deskripsi laptop jadi adem n sejuk";"Positive"
"produk saya terima dengan kondisi baik terima kasih";"Positive"
"belanja kedua kalinya selalu puas pengiriman lumayan cepat overal bagus banget";"Positive"
"kualitas barang bagus harga relatif murah kiriman super cepat response penjual baik recomended seler bintang 5 terima kasih yah semoga sukses usahanya amin";"Positive"
"mantab barang nya oke punya";"Positive"
"pengiriman cepat packing rapi kualitas mantap";"Positive"
"silent dan bagus untuk pekerjan ringan";"Positive"
"barang cepat sampai kualitas bagus dan pengiriman aman tidak ada yang pecah manstapu";"Positive"
"bagus berkualitas sesuai gbr makasih seler tokped dan kurir";"Positive"
"mantap kipasnya kenceng barangnya berkualitas sesuai sama harga";"Positive"
"mantap proses pengerjan dan pengiriman juga barang sesuai dengan deskripsi";"Positive"
"penjualnya ramah melayani pembeli dengan sabar dan memberikan berbagai saran yang pembeli tidak tahu  mantap lah";"Positive"
"barang sampai dengan cepat packingnya rapi dan amat sekali tidak ada bagian acrylic yang pecah berfungsi dengan baik semoga awet";"Positive"
"sangat presisi dan pas";"Positive"
"puas banget seler helpful sangat responsif dan cepet banget sampai nya recomended";"Positive"
"mantap responya juga memuaskan sudah dicoba dan dipasang presisi dan nyaman cas juga responsif";"Positive"
"mantap barangnya cepet sampai dan enak digunainya";"Positive"
"barang bagusoke cepat pengirimanya juga";"Positive"
"pengiriman cepat seler responsif";"Positive"
"barang berfungsi baik pemilik toko sangat responsif dan membantu sat ada sedikit kendala sukses tokonya ya gan";"Positive"
"seler luar biasa packing baik pengiriman cepat penting nya barang sesuai deskripsi dan berfungsi terima kasih";"Positive"
"sangat kecewa baru 4 bulan scrol sudah rusak";"Negative"
"jelek yg pasti jauh dari ori mousepad jadi ga bs dipakai kl di charger jadi getar parah barang ga sesui foto kayak barang lapak sebelah yg harga 80rban padahal sebelumnya pernah beli disini dan baguspersis spt foto yg ada indikator di ujung charger makanya order disini lagi walaupun sedikit mahal ternyata barangnya tidak sama dengan order sebelumnya";"Negative"
"gak bisa di pakai";"Negative"
"kecewa parah ngk berkah jualan gitu";"Negative"
"kecewa penjual ga tangung jawab komplen berhari gada solusi";"Negative"
"pas beli nanya dulu tipe untuk macbok pro 13inch m1 yang mana di variasi nya kata penjualnya yang new pro 13 pas dateng casing kekecilan karena salah tipe ternyata dan penjual pake banyak alesan gamau tangung jawab padahal yang salah ya yg ngejual kecewa gamau lagi beli disini ga tangung jawab";"Negative"
"barang sampai terlalu lama padahal masih dalam kota casing msudah lepas jujur mengecewakan";"Negative"
"kecewa belanja di tempat kamu lain di pesan lain dikirim";"Negative"
"tidak ada tisue pembersih atau alat bantuan lainya untuk memasang sangat kecewa";"Negative"
"salah beli barang tapi toko tidak ada kompromi sama sekali padahal barang masih disegel kecewa deh";"Negative"
"data sering eror dan hilang";"Negative"
"kecewa sama toko oficial ini ga tau kenapa pesenan pertama ga dikonfirmasi sampe di batalin sistem karena ga direspon sama sekali pesanan kedua karena disuruh pesan lagi sama tokonya dan cuma dikonfirmasi doang ga dikirim sampe sudah tingal 10 menit sebelum dibatalin sistem lagi tapi untungnya gara chat cs tokopedia akhirnya barang bakalan dikirim didetik terakhir ga cuma sampe situ saja payahnya barang baru diambil kurir tangal 5 dan pickup barang sama kurir lebih dari 2 hari proses kirim pun lemot muter padahal sudah lewat depan rumah baru tangal 9 jam 9 malem paketnya sampe";"Negative"
"packing seadanya buble hanya selapis saja ditambah lapisan plastik hasilnya barang diterima dalam keadan patah";"Negative"
"mic dari awal ga nyala";"Negative"
"kartu sd nya cuma 2971 gb katanya oficial tapi malah mksoficial kecewa ini tidak original";"Negative"
"kecepatan tidak sesuai dengan deskripsi";"Negative"
"tidak berfugsi";"Negative"
"mouse kurang bagus  pointer nya gerak gerak sendiri";"Negative"
"infra red nya jelek suka mental ke mana2";"Negative"
"batre tidak sesuai ukuran dan tidak ada nano receiver";"Negative"
"boros batre";"Negative"
"barang eror 1";"Negative"
"jaringanya ngelek banget lelet mending pake indihome de nyesel juga beli orbit jaringan ya parah";"Negative"
"tidak sesuai ekspektasi";"Negative"
"lambat";"Negative"
"katanya dapat paket 150 gb ternyata setelah di regiatrasi cm 30 mb";"Negative"
"tidak bisa di register cal center dan team orbin tidak helpful untuk sekedar minta info gerai orbin yang buka dan no telp suruh cari di gogle bukanya tidak mau cari rata2 nomor telp tidak bisa di hubungin jadi apa salahnya memberikan info yang valid menyesal saya beli orbit cal center dan team orbin tidak helpful untuk sekedar minta info gerai orbin yang buka dan no telp suruh cari di gogle bukanya tidak mau cari rata2 nomor telp tidak bisa di hubungin jadi apa salahnya memberikan info yang valid menyesal saya beli orbit";"Negative"
"tidak sesuai";"Negative"
"janji bisa kirim instant segera karena kita mau pakai segera nyatanya anda tutup toko baru di kirim paket sampai malam pas besoknya di coba ternyata sd nya tidak terbaca dan bilangnya kirim ke toko agarnbisa di kirim lagi segera yang baru sama2 di tangerang ongkos gojek instant 3rb berarti dekat dan tidak di kirim2 sampai 2 mingu baru di kirim sangat terlihat sengsaja sekali di lama2in sangat tidak profesional dalam berjualan online  anda jual barang rusak pun tidak ada etikat ucapan maf dan sebagai penutup yang saya angap licik dan pelit sekali ongkir nya di suruh kita yang tangung pas barang sampai kalau di lihat begini mah lupakan garansi produk yg bakal di ganti baru bila terjadi rusak di kemudian hari";"Negative"
"beli 2 sd 1 diterima dalam kondisi rusak";"Negative"
"tidak berfungsi tapi ya sudahlah sudah ditambah daya pakai mikro usb cas hp tetap tidak bisa";"Negative"
"kurang bagus colok hardisk external tidak terdeteksi";"Negative"
"produk kurang baik dan rusak";"Negative"
"untuk kualitas ternyata sama dengan merk china lain 1080p juga yang harga nya 30rb an bahkan lebih bagus merk lain di 60rb an lalu untuk pengiriman lambat sekali dari oficial store pesan tgl 27 sampai tgl 1 sehinga saya tidak sempat mengunakan pada zom meting dan harus memakai hp cukup kecewa dengan produk dan pelayanan logitech kalau utk keyboard nya dan mouse nya emang cukup bagus brp model nya tapi saya kapok beli disini karena barang akan hanya di proses brp jam sbelum pembatalan walaupun pesan nya di hari biasa";"Negative"
"pengiriman 2 hari terlambat padahal bilang bakal lagisg dikirim habis order di chat lagisg ga respon utk oficial store brand segede logitech sunguh mengecewakan";"Negative"
"mousenya kurang responsif jadi harus teken agak kuat";"Negative"
"baru pake 2 bulan sensornya sudah jelek suka kemana2";"Negative"
"belom 1 bulan sudah gak nyala baterai sudah diganti tetap saja gak nyala kecewa sudah 2x di kerjain logitech";"Negative"
"sangat mengecewakan barang yg dikirim tidak sesuai konfirmasi sampai harus bolakbalik 2 kali saya harus nangung 6 x ongkos kirimsangat mengecewakan";"Negative"
"kualitas chargeran jelek banget baru tiga hari pakai sudah rusak";"Negative"
"pelayanan toko jelek proses barang lambat di chat tidak menjawab barang ratarata";"Negative"
"barang rusak  engak guna sama sekali  parah";"Negative"
"cepet rusak kadang konek kadang enga";"Negative"
"barang gajelas lama sampai kotak penyok";"Negative"
"setelah dicek tidak utuh 32gb kok bisa ya kemana sisa 3gb nya masmbakrn lagi butuh yaudahlah cukup tau beli disini pertama dan terakhir beli disini";"Negative"
"pesanan saya tidak sampai ke alamat saya mau uang saya kembali saya belum menerima pesanan saya";"Negative"
"beli kemasan baru di kirim kemasan lama  bintang 1 kontl";"Negative"
"anjing ternyata palsu ini barang bangsat2 awas ketipu oi yang asli ada segel distributor nya";"Negative"
"barang kw jangan beli disini";"Negative"
"buruk";"Negative"
"barang bosok sekali pake rusak mau claim dijawab berbelit ama adminya";"Negative"
"chat tidak di balas kuota yang di janjikan 50gb nya tidak masuk hancur la parah parah";"Negative"
"ga dikasih adaptor gepeng nya ketipu saya";"Negative"
"jir sehari pake sudah rusak  quality control dong yg bener ahelah";"Negative"
"ini gmn sd nya gak bisa di pake sy minta ganti";"Negative"
"beli mahal2 malah sering tiba2 ngeblur kalau dipakai zom terus menghubungi cs nya suruh klaim garansi saja minta alamat ga dikasih2 hadeuh webcam 1 jutan kualitas sampah";"Negative"
