"Review";"Sentiment"
"tidak panas waktu pemakaian compact ringkas dibawa";1
"barang diterima dengan baik adminnya juga di tanyain sangat membantu 

ada 2 hal aja yg bikin risih stiker amdmicrosoftnya miring matakuu  sama sidik jari";1
"barang tiba dengan baik packing sangat aman karena packing kayu meskipun terkendala dipengiriman lama karena pilih regular tapi tetep lama rasa kargo semoga manfaat";1
"produk sesuai packing rapih minus di kurir instant yg udah pick up jam 11 siang tapi hilang bikin deg2an ntah kemana tanpa alasan begitu udah ajukan complain baru bis";1
"in syaa allah aman";1
"ok";1
"semoga menunjang pekerjaan";1
"boleh juga";1
"alhamdulillah sampai cepat laptopnya bagus rada khawatir karena pas pertama nyalain muter di logo asus semalaman tapi syukurnya bisa nyala normal setelah reset windows";1
"great laptop bisa buat kerja gaming casual edit tipis tipis igpu nya juga gakalah sama dgpu kayak rtx2050 ato gtx 1650ti performanya kalah sedikit  15";1
"alhamdulillah barang sampai dg selamat walaupun ga pake paking kayu tp dikasih dus tambahan
proses instalasi nya lumayan lama harus sedia kuota minimal 5gb lahh kare";1
"terimakasih atas respon dari banyaknya pertanyaan saya";1
"semoga awettt";1
"produk sudah diterima  walaupun po dari jadwal 7 hari ternyata hari ke 4 sudah saya terima packing aman pengiriman cepat pakai instan baru diunboxing belum sempat ak";1
"laptop kantoran tp punya kemampuan extra";1
"barangnya bagus bgt dpt bonus mouse pula 
sayang pengirimannya 7 hari lama bgt";1
"gacorrr kakaknya ramah abiss cepet pengiriman satu hari doang masa ga wajarr";1
"warbiasahhhhhh rojali x lebih muanteb dr yg biasa";1
"mantab byebye life";1
"barang dibos jadi tidak sempet foto";1
"biarkan bintang yg bicara mau ngomong apalagi coba aja";1
"biarkan bintang yg bicara mau apalagi coba";1
"skibidi";1
"merknya terlalu random 
besok di test apakah berfungsi normal tidak";1
"bintang 3 deh descripsi beli gen 8 yang dateng gen 6 baru ngeh pas liat histori beli";1
"normal";1
"okblm dicobasller gercepsippppp";1
"sperti bisa udh langganan";1
"sudah coba seminggu semuanya normal";1
"terima kasih";1
"moga gak makin langka dan mahal";1
"good";1
"fast respon";1
"lumayan";1
"ya bergitu laaaa";1
"bagus fast charge tp ga ada kabel";1
"unit repack";1
"lorem ipsum dolor sit amet consectetur adipiscing elit sed do eiusmod tempor incididunt ut labore et dolore magna aliqua ut enim ad minim veniam quis nostrud exercita";1
"average 
freeze no lampled";1
"fast respond";1
"klo nyenengin orang tua ada aja nnti rejekinya semoga awet dah yaa";1
"belum dicoba baru dibuka";1
"sudah di cek sementara aman semoga tidak ada masalah";1
"barang sampai dengan aman dan komplit dpt bonus jbl";2
"mantapp terbaikk respon admin sangat cepat";2
"brng aman paking rapi aksesoris komplit os berketja bagus semoga awet";2
"barang bagus
mulus 
terima kasih semoga awet amiin";2
"respon cepatbarang bagussesuai deskripsimaju terus asus official";2
"bagus keren tahan lama";2
"barang sampai dengan aman mantap";2
"mantap kayu aman dan kuat";2
"spesifikasi barang sesuai dengan yg di deskrip";2
"niceeee";2
"barang nya bagus";2
"ok banget";2
"admin respond cepat dan sangat membantu produk sampai aman dan befungsi baik puas";2
"kondisi baik dan cepat";2
"barang bagus pengiriman cepat dipakainya enak";2
"mantaps";2
"performa optimal ringkas dan ringan di bawa packing aman penjual responsif 
terimakasih bonus nya";2
"bagus dan bisa langsung digunakan packing aman dan nyaman thanks seller";2
"bagus pelayanannya memuaskan jelas dan terpercaya rekommended pengiriman tepat waktu";2
"produk bagus  recomended";2
"bagus";2
"produk bagus  recommended";2
"bagussss okeehh";2
"respon seller cepat dan ramah sgt membantu";2
"terima kasih pesanansudah diterima semoga awet";2
"laptop idaman setelah galau antara ini atau macair m3 ringkas ringan lengkap di test game masih kuat cuma ga tega dengar kipasnya laptop buat kerja aja pelayanan";2
"barang bagus berkualitas seperti yang diharapkan bila mana kedepan terdapat kendala mohon dibantu ya";2
"barang berfungsi dengan baik admin sangat helpful dalam instalasi terima kasih";2
